,movie_id,movie_title,average_rating,rating_count,weighted_rating
49,50,Star Wars (1977),4.36,583,2541.88
99,100,Fargo (1996),4.16,508,2113.28
180,181,Return of the Jedi (1983),4.01,507,2033.07
257,258,Contact (1997),3.8,509,1934.1999999999998
173,174,Raiders of the Lost Ark (1981),4.25,420,1785.0
126,127,"Godfather, The (1972)",4.28,413,1767.64
285,286,"English Patient, The (1996)",3.66,481,1760.46
0,1,Toy Story (1995),3.88,452,1753.76
97,98,"Silence of the Lambs, The (1991)",4.29,390,1673.1
287,288,Scream (1996),3.44,478,1644.32
55,56,Pulp Fiction (1994),4.06,394,1599.6399999999999
299,300,Air Force One (1997),3.63,431,1564.53
171,172,"Empire Strikes Back, The (1980)",4.2,367,1541.4
293,294,Liar Liar (1997),3.16,485,1532.6000000000001
6,7,Twelve Monkeys (1995),3.8,392,1489.6
312,313,Titanic (1997),4.25,350,1487.5
120,121,Independence Day (ID4) (1996),3.44,429,1475.76
236,237,Jerry Maguire (1996),3.71,384,1424.6399999999999
116,117,"Rock, The (1996)",3.69,378,1394.82
78,79,"Fugitive, The (1993)",4.04,336,1357.44
172,173,"Princess Bride, The (1987)",4.17,324,1351.08
203,204,Back to the Future (1985),3.83,350,1340.5
221,222,Star Trek: First Contact (1996),3.66,365,1335.9
317,318,Schindler's List (1993),4.47,298,1332.06
209,210,Indiana Jones and the Last Crusade (1989),3.93,331,1300.8300000000002
167,168,Monty Python and the Holy Grail (1974),4.07,316,1286.1200000000001
63,64,"Shawshank Redemption, The (1994)",4.45,283,1259.3500000000001
268,269,"Full Monty, The (1997)",3.93,315,1237.95
68,69,Forrest Gump (1994),3.85,321,1235.8500000000001
301,302,L.A. Confidential (1997),4.16,297,1235.52
21,22,Braveheart (1995),4.15,297,1232.5500000000002
150,151,Willy Wonka and the Chocolate Factory (1971),3.63,326,1183.3799999999999
95,96,Terminator 2: Judgment Day (1991),4.01,295,1182.95
194,195,"Terminator, The (1984)",3.93,301,1182.93
182,183,Alien (1979),4.03,291,1172.73
11,12,"Usual Suspects, The (1995)",4.39,267,1172.1299999999999
8,9,Dead Man Walking (1995),3.9,299,1166.1
422,423,E.T. the Extra-Terrestrial (1982),3.83,300,1149.0
190,191,Amadeus (1984),4.16,276,1148.16
404,405,Mission: Impossible (1996),3.31,344,1138.64
88,89,Blade Runner (1982),4.14,275,1138.5
256,257,Men in Black (1997),3.75,303,1136.25
215,216,When Harry Met Sally... (1989),3.91,290,1133.9
356,357,One Flew Over the Cuckoo's Nest (1975),4.29,264,1132.56
175,176,Aliens (1986),3.95,284,1121.8
14,15,Mr. Holland's Opus (1995),3.78,293,1107.54
275,276,Leaving Las Vegas (1995),3.7,298,1102.6000000000001
27,28,Apollo 13 (1995),3.93,276,1084.68
482,483,Casablanca (1942),4.46,243,1083.78
274,275,Sense and Sensibility (1995),4.01,268,1074.6799999999998
233,234,Jaws (1975),3.78,280,1058.3999999999999
201,202,Groundhog Day (1993),3.76,280,1052.8
134,135,2001: A Space Odyssey (1968),3.97,259,1028.23
327,328,Conspiracy Theory (1997),3.42,295,1008.9
24,25,"Birdcage, The (1996)",3.44,293,1007.92
131,132,"Wizard of Oz, The (1939)",4.08,246,1003.6800000000001
237,238,Raising Arizona (1987),3.88,256,993.28
747,748,"Saint, The (1997)",3.12,316,985.9200000000001
195,196,Dead Poets Society (1989),3.92,251,983.92
184,185,Psycho (1960),4.1,239,979.8999999999999
196,197,"Graduate, The (1967)",4.1,239,979.8999999999999
193,194,"Sting, The (1973)",4.06,241,978.4599999999999
741,742,Ransom (1996),3.64,267,971.88
81,82,Jurassic Park (1993),3.72,261,970.9200000000001
96,97,Dances with Wolves (1990),3.79,256,970.24
474,475,Trainspotting (1996),3.88,250,970.0
267,268,Chasing Amy (1997),3.79,255,966.45
185,186,"Blues Brothers, The (1980)",3.84,251,963.8399999999999
495,496,It's a Wonderful Life (1946),4.12,231,951.72
110,111,"Truth About Cats & Dogs, The (1996)",3.49,272,949.2800000000001
117,118,Twister (1996),3.22,293,943.46
143,144,Die Hard (1988),3.87,243,940.4100000000001
426,427,To Kill a Mockingbird (1962),4.29,219,939.51
152,153,"Fish Called Wanda, A (1988)",3.79,247,936.13
227,228,Star Trek: The Wrath of Khan (1982),3.82,244,932.0799999999999
69,70,Four Weddings and a Funeral (1994),3.66,251,918.6600000000001
602,603,Rear Window (1954),4.39,209,917.5099999999999
10,11,Seven (Se7en) (1995),3.85,236,908.6
332,333,"Game, The (1997)",3.59,251,901.0899999999999
179,180,Apocalypse Now (1979),4.05,221,895.05
181,182,GoodFellas (1990),3.95,226,892.7
654,655,Stand by Me (1986),3.88,227,880.76
264,265,"Hunt for Red October, The (1990)",3.86,227,876.22
7,8,Babe (1995),4.0,219,876.0
186,187,"Godfather: Part II, The (1974)",4.19,209,875.71
124,125,Phenomenon (1996),3.56,244,868.64
178,179,"Clockwork Orange, A (1971)",3.91,221,864.11
281,282,"Time to Kill, A (1996)",3.69,232,856.08
434,435,Butch Cassidy and the Sundance Kid (1969),3.95,216,853.2
133,134,Citizen Kane (1941),4.29,198,849.42
514,515,"Boot, Das (1981)",4.2,201,844.2
271,272,Good Will Hunting (1997),4.26,198,843.4799999999999
567,568,Speed (1994),3.65,230,839.5
142,143,"Sound of Music, The (1965)",3.77,222,836.94
94,95,Aladdin (1992),3.81,219,834.39
70,71,"Lion King, The (1994)",3.78,220,831.5999999999999
473,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.25,194,824.5
210,211,M*A*S*H (1970),3.91,206,805.46
470,471,Courage Under Fire (1996),3.61,221,797.81
272,273,Heat (1995),3.57,223,796.11
174,175,Brazil (1985),3.82,208,794.56
199,200,"Shining, The (1980)",3.83,206,788.98
207,208,Young Frankenstein (1974),3.94,200,788.0
214,215,Field of Dreams (1989),3.7,212,784.4000000000001
526,527,Gandhi (1982),4.02,195,783.8999999999999
507,508,"People vs. Larry Flynt, The (1996)",3.6,215,774.0
288,289,Evita (1996),2.98,259,771.82
545,546,Broken Arrow (1996),3.03,254,769.62
479,480,North by Northwest (1959),4.28,179,766.12
160,161,Top Gun (1986),3.48,220,765.6
587,588,Beauty and the Beast (1991),3.79,202,765.58
478,479,Vertigo (1958),4.25,179,760.75
300,301,In & Out (1997),3.3,230,759.0
123,124,Lone Star (1996),4.05,187,757.35
87,88,Sleepless in Seattle (1993),3.54,213,754.02
22,23,Taxi Driver (1976),4.12,182,749.84
208,209,This Is Spinal Tap (1984),3.91,191,746.8100000000001
244,245,"Devil's Own, The (1997)",3.11,240,746.4
3,4,Get Shorty (1995),3.55,209,741.9499999999999
384,385,True Lies (1994),3.56,208,740.48
510,511,Lawrence of Arabia (1962),4.23,173,731.7900000000001
297,298,Face/Off (1997),3.77,194,731.38
13,14,"Postino, Il (1994)",3.97,183,726.51
82,83,Much Ado About Nothing (1993),4.06,176,714.56
202,203,Unforgiven (1992),3.87,182,704.34
513,514,Annie Hall (1977),3.91,180,703.8000000000001
322,323,Dante's Peak (1997),2.93,240,703.2
650,651,Glory (1989),4.08,171,697.6800000000001
284,285,Secrets & Lies (1996),4.27,162,691.7399999999999
198,199,"Bridge on the River Kwai, The (1957)",4.18,165,689.6999999999999
402,403,Batman (1989),3.43,201,689.4300000000001
229,230,Star Trek IV: The Voyage Home (1986),3.45,199,686.5500000000001
249,250,"Fifth Element, The (1997)",3.48,197,685.56
270,271,Starship Troopers (1997),3.23,211,681.53
339,340,Boogie Nights (1997),3.59,189,678.51
321,322,Murder at 1600 (1997),3.09,218,673.62
136,137,Big Night (1996),3.9,171,666.9
273,274,Sabrina (1995),3.5,190,665.0
418,419,Mary Poppins (1964),3.72,178,662.1600000000001
132,133,Gone with the Wind (1939),3.87,171,661.77
306,307,"Devil's Advocate, The (1997)",3.52,188,661.76
282,283,Emma (1996),3.72,177,658.44
731,732,Dave (1993),3.65,180,657.0
314,315,Apt Pupil (1998),4.1,160,656.0
431,432,Fantasia (1940),3.77,174,655.98
392,393,Mrs. Doubtfire (1993),3.41,192,654.72
522,523,Cool Hand Luke (1967),3.99,164,654.36
153,154,Monty Python's Life of Brian (1979),3.75,174,652.5
596,597,Eraser (1996),3.15,206,648.9
146,147,"Long Kiss Goodnight, The (1996)",3.47,185,641.95
590,591,Primal Fear (1996),3.6,178,640.8000000000001
683,684,In the Line of Fire (1993),3.79,169,640.51
565,566,Clear and Present Danger (1994),3.57,179,639.03
57,58,Quiz Show (1994),3.65,175,638.75
98,99,Snow White and the Seven Dwarfs (1937),3.71,172,638.12
497,498,"African Queen, The (1951)",4.18,152,635.3599999999999
432,433,Heathers (1989),3.69,171,630.99
12,13,Mighty Aphrodite (1995),3.42,184,629.28
187,188,Full Metal Jacket (1987),3.68,170,625.6
234,235,Mars Attacks! (1996),2.85,217,618.45
750,751,Tomorrow Never Dies (1997),3.43,180,617.4
442,443,"Birds, The (1963)",3.81,162,617.22
192,193,"Right Stuff, The (1983)",3.92,157,615.4399999999999
677,678,Volcano (1997),2.81,219,615.39
844,845,That Thing You Do! (1996),3.47,176,610.72
283,284,Tin Cup (1996),3.16,193,609.88
653,654,Chinatown (1974),4.14,147,608.5799999999999
581,582,"Piano, The (1993)",3.6,168,604.8000000000001
149,150,Swingers (1996),3.83,157,601.3100000000001
23,24,Rumble in the Bronx (1995),3.45,174,600.3000000000001
691,692,"American President, The (1995)",3.63,164,595.3199999999999
627,628,Sleepers (1996),3.51,169,593.1899999999999
217,218,Cape Fear (1991),3.46,171,591.66
326,327,Cop Land (1997),3.38,175,591.5
85,86,"Remains of the Day, The (1993)",3.94,150,591.0
155,156,Reservoir Dogs (1992),3.99,148,590.52
247,248,Grosse Pointe Blank (1997),3.68,160,588.8000000000001
401,402,Ghost (1990),3.46,170,588.2
366,367,Clueless (1995),3.46,170,588.2
325,326,G.I. Jane (1997),3.36,175,588.0
483,484,"Maltese Falcon, The (1941)",4.21,138,580.98
254,255,My Best Friend's Wedding (1997),3.36,172,577.92
659,660,Fried Green Tomatoes (1991),3.76,153,575.28
65,66,While You Were Sleeping (1995),3.55,162,575.1
222,223,Sling Blade (1996),4.2,136,571.2
450,451,Grease (1978),3.35,170,569.5
41,42,Clerks (1994),3.8,148,562.4
461,462,Like Water For Chocolate (Como agua para chocolate) (1992),3.8,148,562.4
30,31,Crimson Tide (1995),3.63,154,559.02
292,293,Donnie Brasco (1997),3.8,147,558.6
656,657,"Manchurian Candidate, The (1962)",4.26,131,558.06
225,226,Die Hard 2 (1990),3.36,166,557.76
54,55,"Professional, The (1994)",3.7,149,551.3000000000001
318,319,Everyone Says I Love You (1996),3.27,168,549.36
704,705,Singin' in the Rain (1952),3.99,137,546.63
738,739,Pretty Woman (1990),3.32,164,544.48
204,205,Patton (1970),3.99,136,542.64
177,178,12 Angry Men (1957),4.34,125,542.5
163,164,"Abyss, The (1989)",3.59,151,542.09
430,431,Highlander (1986),3.54,153,541.62
86,87,Searching for Bobby Fischer (1993),3.91,138,539.58
689,690,Seven Years in Tibet (1997),3.46,155,536.3
212,213,"Room with a View, A (1986)",3.99,134,534.6600000000001
228,229,Star Trek III: The Search for Spock (1984),3.11,171,531.81
320,321,Mother (1996),3.13,169,528.97
176,177,"Good, The Bad and The Ugly, The (1966)",3.86,137,528.8199999999999
226,227,Star Trek VI: The Undiscovered Country (1991),3.28,161,528.0799999999999
684,685,Executive Decision (1996),3.36,157,527.52
303,304,Fly Away Home (1996),3.54,149,527.46
168,169,"Wrong Trousers, The (1993)",4.47,118,527.4599999999999
734,735,Philadelphia (1993),3.85,137,527.45
238,239,Sneakers (1992),3.51,150,526.5
309,310,"Rainmaker, The (1997)",3.6,145,522.0
90,91,"Nightmare Before Christmas, The (1993)",3.59,143,513.37
189,190,Henry V (1989),4.14,124,513.36
481,482,Some Like It Hot (1959),3.98,128,509.44
197,198,Nikita (La Femme Nikita) (1990),4.01,127,509.27
519,520,"Great Escape, The (1963)",4.1,124,508.4
409,410,Kingpin (1996),3.13,162,507.06
530,531,Shine (1996),3.92,129,505.68
762,763,Happy Gilmore (1996),3.39,149,505.11
169,170,Cinema Paradiso (1988),4.17,121,504.57
407,408,"Close Shave, A (1995)",4.49,112,502.88
527,528,"Killing Fields, The (1984)",4.13,121,499.72999999999996
76,77,"Firm, The (1993)",3.28,151,495.28
549,550,Die Hard: With a Vengeance (1995),3.28,151,495.28
331,332,Kiss the Girls (1997),3.46,143,494.78
302,303,Ulee's Gold (1997),3.69,134,494.46
128,129,Bound (1996),3.82,129,492.78
269,270,Gattaca (1997),3.6,136,489.6
245,246,Chasing Amy (1997),3.94,124,488.56
471,472,Dragonheart (1996),3.08,158,486.64
475,476,"First Wives Club, The (1996)",3.02,160,483.2
346,347,Wag the Dog (1997),3.51,137,480.86999999999995
46,47,Ed Wood (1994),3.6,133,478.8
47,48,Hoop Dreams (1994),4.09,117,478.53
191,192,Raging Bull (1980),4.12,116,477.92
115,116,Cold Comfort Farm (1995),3.82,125,477.5
484,485,My Fair Lady (1964),3.82,125,477.5
749,750,Amistad (1997),3.85,124,477.40000000000003
509,510,"Magnificent Seven, The (1954)",3.94,121,476.74
525,526,Ben-Hur (1959),3.83,124,474.92
410,411,"Nutty Professor, The (1996)",2.91,163,474.33000000000004
1015,1016,Con Air (1997),3.46,137,474.02
454,455,Jackie Chan's First Strike (1996),3.26,145,472.7
315,316,As Good As It Gets (1997),4.2,112,470.40000000000003
658,659,Arsenic and Old Lace (1944),4.08,115,469.2
156,157,Platoon (1986),3.69,127,468.63
241,242,Kolya (1996),3.99,117,466.83000000000004
503,504,Bonnie and Clyde (1967),3.82,122,466.03999999999996
508,509,My Left Foot (1989),3.85,121,465.85
251,252,"Lost World: Jurassic Park, The (1997)",2.94,158,464.52
427,428,Harold and Maude (1971),3.82,121,462.21999999999997
417,418,Cinderella (1950),3.58,129,461.82
520,521,"Deer Hunter, The (1978)",3.83,120,459.6
345,346,Jackie Brown (1997),3.64,126,458.64000000000004
280,281,"River Wild, The (1994)",3.14,146,458.44
67,68,"Crow, The (1994)",3.42,134,458.28
240,241,"Last of the Mohicans, The (1992)",3.55,128,454.4
662,663,Being There (1979),3.91,116,453.56
1027,1028,Grumpier Old Men (1995),3.04,148,449.92
108,109,Mystery Science Theater 3000: The Movie (1996),3.43,130,445.90000000000003
878,879,"Peacemaker, The (1997)",3.27,136,444.72
72,73,Maverick (1994),3.47,128,444.16
258,259,George of the Jungle (1997),2.69,162,435.78
558,559,Interview with the Vampire (1994),3.18,137,435.66
745,746,Real Genius (1985),3.66,119,435.54
239,240,Beavis and Butt-head Do America (1996),2.79,156,435.24
135,136,Mr. Smith Goes to Washington (1939),4.12,105,432.6
630,631,"Crying Game, The (1992)",3.62,119,430.78000000000003
500,501,Dumbo (1941),3.5,123,430.5
595,596,"Hunchback of Notre Dame, The (1996)",3.38,127,429.26
477,478,"Philadelphia Story, The (1940)",4.12,104,428.48
290,291,Absolute Power (1997),3.37,127,427.99
446,447,Carrie (1976),3.5,121,423.5
93,94,Home Alone (1990),3.09,137,423.33
248,249,Austin Powers: International Man of Mystery (1997),3.25,130,422.5
1,2,GoldenEye (1995),3.21,131,420.51
708,709,Strictly Ballroom (1992),4.03,104,419.12
291,292,Rosewood (1997),3.67,114,418.38
92,93,Welcome to the Dollhouse (1995),3.72,112,416.64000000000004
71,72,"Mask, The (1994)",3.19,129,411.51
147,148,"Ghost and the Darkness, The (1996)",3.2,128,409.6
232,233,Under Siege (1992),3.29,124,407.96
64,65,What's Eating Gilbert Grape (1993),3.54,115,407.1
330,331,"Edge, The (1997)",3.54,113,400.02
316,317,In the Name of the Father (1993),3.91,102,398.82
61,62,Stargate (1994),3.14,127,398.78000000000003
381,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.59,111,398.49
183,184,Army of Darkness (1993),3.43,116,397.88
469,470,Tombstone (1993),3.67,108,396.36
865,866,Michael (1996),3.32,119,395.08
472,473,James and the Giant Peach (1996),3.13,126,394.38
323,324,Lost Highway (1997),3.14,125,392.5
80,81,"Hudsucker Proxy, The (1994)",3.55,110,390.5
761,762,Beautiful Girls (1996),3.39,115,389.85
379,380,Star Trek: Generations (1994),3.34,116,387.44
342,343,Alien: Resurrection (1997),3.1,124,384.40000000000003
428,429,"Day the Earth Stood Still, The (1951)",3.94,97,382.18
213,214,Pink Floyd - The Wall (1982),3.35,114,381.90000000000003
1046,1047,Multiplicity (1996),2.84,134,380.56
230,231,Batman Returns (1992),2.68,142,380.56
420,421,William Shakespeare's Romeo and Juliet (1996),3.59,106,380.53999999999996
216,217,Bram Stoker's Dracula (1992),3.16,120,379.20000000000005
305,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",3.95,96,379.20000000000005
52,53,Natural Born Killers (1994),2.95,128,377.6
161,162,On Golden Pond (1981),3.56,106,377.36
91,92,True Romance (1993),3.62,104,376.48
377,378,Miracle on 34th Street (1994),3.72,101,375.72
698,699,Little Women (1994),3.68,102,375.36
357,358,Spawn (1997),2.62,143,374.66
506,507,"Streetcar Named Desire, A (1951)",3.82,98,374.35999999999996
429,430,Duck Soup (1933),4.0,93,372.0
122,123,"Frighteners, The (1996)",3.23,115,371.45
755,756,Father of the Bride Part II (1995),2.9,128,371.2
403,404,Pinocchio (1940),3.67,101,370.67
528,529,My Life as a Dog (Mitt liv som hund) (1985),3.98,93,370.14
125,126,"Spitfire Grill, The (1996)",3.8,97,368.59999999999997
918,919,"City of Lost Children, The (1995)",3.79,96,363.84000000000003
814,815,One Fine Day (1996),3.23,112,361.76
37,38,"Net, The (1995)",3.01,120,361.2
1038,1039,Hamlet (1996),4.01,90,360.9
660,661,High Noon (1952),4.1,88,360.79999999999995
380,381,Muriel's Wedding (1994),3.55,100,355.0
448,449,Star Trek: The Motion Picture (1979),3.03,117,354.51
130,131,Breakfast at Tiffany's (1961),3.73,95,354.35
1011,1012,Private Parts (1997),3.53,100,353.0
746,747,Benny & Joon (1993),3.46,102,352.92
218,219,"Nightmare on Elm Street, A (1984)",3.17,111,351.87
707,708,"Sex, Lies, and Videotape (1989)",3.48,101,351.48
435,436,"American Werewolf in London, An (1981)",3.54,99,350.46
651,652,Rosencrantz and Guildenstern Are Dead (1990),3.89,90,350.1
505,506,Rebel Without a Cause (1955),3.86,90,347.4
51,52,"Madness of King George, The (1994)",3.77,91,343.07
516,517,Manhattan (1979),3.77,91,343.07
894,895,Scream 2 (1997),3.22,106,341.32
9,10,Richard III (1995),3.83,89,340.87
58,59,Three Colors: Red (1994),4.06,83,336.97999999999996
53,54,Outbreak (1995),3.24,104,336.96000000000004
32,33,Desperado (1995),3.45,97,334.65000000000003
692,693,Casino (1995),3.65,91,332.15
548,549,Rob Roy (1995),3.57,92,328.44
518,519,"Treasure of the Sierra Madre, The (1948)",4.1,80,328.0
355,356,"Client, The (1994)",3.38,97,327.86
162,163,"Return of the Pink Panther, The (1974)",3.55,92,326.59999999999997
324,325,Crash (1996),2.55,128,326.4
259,260,Event Horizon (1997),2.57,127,326.39
678,679,Conan the Barbarian (1981),3.05,107,326.34999999999997
158,159,Basic Instinct (1992),3.23,101,326.23
517,518,Miller's Crossing (1990),3.65,89,324.84999999999997
603,604,It Happened One Night (1934),4.01,81,324.81
927,928,"Craft, The (1996)",3.12,104,324.48
231,232,Young Guns (1988),3.21,101,324.21
44,45,Eat Drink Man Woman (1994),4.05,80,324.0
529,530,"Man Who Would Be King, The (1975)",4.03,80,322.40000000000003
242,243,Jungle2Jungle (1997),2.44,132,322.08
791,792,Bullets Over Broadway (1994),3.72,86,319.92
743,744,Michael Collins (1996),3.46,92,318.32
211,212,"Unbearable Lightness of Being, The (1988)",3.46,92,318.32
424,425,Bob Roberts (1992),3.74,85,317.90000000000003
754,755,Jumanji (1995),3.31,96,317.76
224,225,101 Dalmatians (1996),2.91,109,317.19
304,305,"Ice Storm, The (1997)",3.64,87,316.68
66,67,Ace Ventura: Pet Detective (1994),3.05,103,314.15
200,201,Evil Dead II (1987),3.52,89,313.28000000000003
512,513,"Third Man, The (1949)",4.33,72,311.76
641,642,"Grifters, The (1990)",3.48,89,309.71999999999997
735,736,Shadowlands (1993),3.94,78,307.32
31,32,Crumb (1994),3.79,81,306.99
681,682,I Know What You Did Last Summer (1997),3.06,100,306.0
476,477,Matilda (1996),3.21,95,304.95
28,29,Batman Forever (1995),2.67,114,304.38
154,155,Dirty Dancing (1987),3.1,98,303.8
672,673,Cape Fear (1962),3.52,86,302.72
464,465,"Jungle Book, The (1994)",3.56,85,302.6
1010,1011,2 Days in the Valley (1996),3.23,93,300.39
1013,1014,Romy and Michele's High School Reunion (1997),3.06,98,299.88
289,290,Fierce Creatures (1997),3.11,96,298.56
113,114,Wallace & Gromit: The Best of Aardman Animation (1996),4.45,67,298.15000000000003
151,152,Sleeper (1973),3.63,82,297.65999999999997
419,420,Alice in Wonderland (1951),3.67,81,297.27
635,636,Escape from New York (1981),3.24,91,294.84000000000003
524,525,"Big Sleep, The (1946)",4.03,73,294.19
398,399,"Three Musketeers, The (1993)",3.3,89,293.7
577,578,Demolition Man (1993),3.15,92,289.8
89,90,So I Married an Axe Murderer (1993),3.05,95,289.75
923,924,White Squall (1996),3.4,85,289.0
447,448,"Omen, The (1976)",3.39,85,288.15000000000003
16,17,From Dusk Till Dawn (1996),3.12,92,287.04
646,647,Ran (1985),4.1,70,287.0
553,554,Waterworld (1995),2.8,102,285.59999999999997
714,715,To Die For (1995),3.28,87,285.35999999999996
968,969,Winnie the Pooh and the Blustery Day (1968),3.8,75,285.0
4,5,Copycat (1995),3.3,86,283.8
38,39,Strange Days (1995),3.26,87,283.62
664,665,Alien 3 (1992),2.83,100,283.0
709,710,Better Off Dead... (1985),3.57,79,282.03
728,729,Nell (1994),3.48,81,281.88
661,662,Somewhere in Time (1980),3.43,82,281.26
575,576,Cliffhanger (1993),3.02,93,280.86
457,458,Nixon (1995),3.12,90,280.8
50,51,Legends of the Fall (1994),3.46,81,280.26
632,633,"Christmas Carol, A (1938)",4.06,69,280.14
286,287,Marvin's Room (1996),3.59,78,280.02
780,781,French Kiss (1995),3.33,84,279.72
583,584,"Secret Garden, The (1993)",3.54,79,279.66
